Tipo de reporte,Tipo folio,Mes,Periodo,Clave reporte,Determinante,Total logistica,Operación,Cedis,Region,Ventas,Volumen,Viajes Embarcados,Viajes despachados,Viajes dedicados despachados,viajes tercero despachados,Ocupacion,Km outbound,km dedicado,km tercero,Viaje despachado porteo tercero,viaje despachado transferencia dedicado,viajes despachados transferencias tercero,viajes despachados bkhl,km/viaje,outbound/viaje,caja / kms,caja transportada,caja transportada bkhl,neto bkhl,neto tarimas,neto devoluciones,neto rpc's,fp and transp costs,ctp common carrier outb expense,outb dedicado,no unidades dedicadas,ajuste vol,costo km var,viajes despachados bkhl tercero,intermodal / rail,acumulado de incr dedicado,incr tarifas del mes,ajuste vol 2,viaje despachado devo dedicado,castas,diesel,base diesel dedicado,viajes despachados devo tercero,aclaraciones,total outbound tercero,outbound tercero,base diesel OU tercero,km porteo dedicado,km porteo tercero,outbounde dedicado sici,outbounda tercero sici,renta remolques,no remolques,arrendamiento,mantenimiento,arrastres,"verificacion, permisos, ",monitoreo,centerpoint dedicated expense,porteo dedicado,no unidades dedicadas.1,fijo,costo km variables,casetas,diesel.1,base diesel dedicado.1,km transf tercero,km transf tercero.1,km bkhl dedicado,total porteo tercero,porteo tercero,base diesel tercero,km bkhl tercero,km devo dedicado,transferencias total,base diesel transferencias,transferencias,ocean dedicated expense,ferry,distribution support,reto quintas,numero quintas,arrendamiento.1,mantenimiento.1,arrastres.1,verificacions permissos y otros,third party supply chain costs,desconsolidadores,bkhl activity,outside bkhl income,ingreso devo,bkhl income,ingreso bkhl,bkhl expense,gto bkhl dedicado,gasto bkhl tercero,gasto devol,supplies and equipment,small fixtures distribution,gasto rpc's,pallet and packaging expense,pallet expense,gasto tarimas,sustainability income,other commodities recycling income,venta tarimas,total other income,fp expense,gasto transporte tarimas,km devo tercero,other income,manejo plataformas,ingreso rpc's,otros gastos devo,otros gastos rpc's,viajes despachados porteo dedicado,incremento del mes (porteo tercero),incremento del mes (transferencias),no de remolques,ocupacion x remolque,plexus,goget,btf,4513019,outbound,porteo,bkhl,rpcs,4513018,remolque,quintas,4513017,remolques,quintas.1,bkhl.1,4513019 remolques,quintas 4513019,go get remolques,go get smart s,go get nd,centralizado,fijo outbound dedicado cta 4507003,fijos porteo (prov desface),penalizaciones
TLOG,Real 2025,Julio,2025,0.418175,0,0.418725,0.329925,0,Zona Centro,255.4,0.3193076923076923,0.414225,0.3127,0.554075,1.0767,0.57445,0.435825,1.183075,0.54365,0.55475,0.48385,0.39015,0.389975,0.5550999999999999,0.353075,0.215675,0.3542,0.7882250000000001,57.047275,249.92215,241.0091,95.41365,1.2859,0.5908,0.678925,0.305875,0.628825,0.778725,0.247325,0.415725,0.4713000000000001,0.8267749999999999,0.388275,0.51115,0.4772,0.4504,0.105425,0.447425,0.185275,0.491175,0.3374,1.11915,0.5301250000000001,0.47995,1.822525,0.9063249999999999,0.5252,0.302325,0.863625,0.4834000000000001,0.324025,1.18545,0.5597249999999999,0.4622249999999999,0.396925,1.654425,0.5032,-50.366725,1.647425,1.05775,0.624675,1.4937,1.595225,0.793275,0.6041,0.529275,0.630525,0.223975,0.35605,0.3391749999999999,0.637625,0.581925,0.5525249999999999,0.504875,0.6406999999999999,0.50125,1.29925,0.5869,0.794625,0.31835,0.485275,0.484975,1.745275,1.261525,1.76345,0.587575,0.33925,-0.528225,0.995125,0.9574750000000001,0.4083,0.136775,1.06345,0.6311,0.5565,1.9556,0.9459000000000001,1.1321,0.056575,0.28905,1.2504,0.170075,0.310725,0.6115999999999999,0.736375,0.633775,0.982575,0.8533750000000001,0.2677,0.34885,0.439775,0.249525,2.059,0.938325,0.338675,0.812375,0.357025,0.2184,1.159675,2.1444,0.515675,0.189,3.137575,0.492075,0.986275,0.18145,1.036175,1.145175,0.897325,0.628275,0.7326999999999999,2.126775,0.420475,0.59415,0.432725,1.386625,0.210525,0.7131000000000001,1.053
TLOG,Real 2025,Febrero,2025,0.461825,0,1.086225,0.72555,0,Zona Centro,422.24,0.5069743589743589,0.367975,0.480325,0.43105,1.3635,0.379375,0.575275,0.800825,1.08925,0.282175,1.047425,1.3508,0.3743,0.4785,0.618525,0.8062999999999999,0.512575,0.446675,-95.91590000000001,100.27095,62.83615,-181.8077,0.779625,0.592125,1.709225,0.3116,0.482625,0.5816749999999999,0.7961750000000001,1.4571,0.153825,0.2946,0.7239249999999999,1.1188,0.75625,0.676325,0.342825,0.442225,0.443675,0.3648749999999999,0.274775,0.419025,1.16945,1.76315,1.000725,0.8432,0.7021999999999999,0.360275,0.435525,1.06485,0.41905,1.44745,0.513775,1.2621,1.21525,0.30875,0.34065,35.184025,0.450825,0.360975,0.188275,1.6308,0.278325,0.6229,0.5425,0.472675,0.779525,0.296725,0.2528,0.24885,0.245325,0.24135,0.52035,0.533725,0.60975,0.372625,0.856225,0.66445,0.706325,0.62885,0.984325,0.9573999999999999,0.7529250000000001,0.491875,0.600325,0.52855,0.3967,-0.5750500000000001,0.5902000000000001,0.520525,0.6690999999999999,0.485,0.50205,1.25495,1.00085,0.705525,1.431775,0.217725,0.3255749999999999,0.397425,0.67305,0.14345,0.9398000000000001,0.614375,0.49135,1.4119,0.4363,0.559225,0.18065,0.410675,0.9140999999999999,0.39505,0.27975,0.423,0.15605,0.6607,0.659475,0.821325,0.318375,0.724925,0.61835,0.5499,0.14885,0.1387,0.46675,1.2812,0.672675,1.0546,0.49095,0.224725,0.406625,0.8872249999999999,0.32945,0.28125,0.4458,2.538325,0.691675,0.265125,0.6875749999999999
TLOG,Real 2025,Junio,2025,1.760675,0,0.3741,0.9965,0,Zona Centro,306.55,0.7397692307692307,0.455625,0.8752,0.69785,0.441175,0.31235,0.56215,0.9445,1.212275,0.3052,0.185825,0.559575,0.5336,1.020125,0.6492249999999999,0.830325,0.80805,1.464525,26.792625,-93.69375,37.776675,53.73520000000001,0.3172,0.6228,0.44085,0.4736,0.687825,0.29825,1.019525,0.3358,1.271775,0.5846,0.243375,0.8044499999999999,0.802675,1.44785,2.297425,1.16205,0.465775,1.220525,0.9016249999999999,0.37035,1.1462,1.029375,0.7969750000000001,0.762125,0.58475,0.810225,0.521475,0.321675,0.3735,0.518975,0.3306750000000001,0.76375,0.7159,0.297075,0.83325,174.1656,0.6407250000000001,0.3497,2.99495,0.4521,0.26105,0.942325,0.6673250000000001,0.36015,0.324625,0.97285,0.320025,0.465825,0.7381749999999999,0.27595,0.9122499999999999,0.29045,0.7322,0.300525,0.365875,1.245,0.3981,0.169175,0.338775,0.5032,0.8842,0.3072,0.9175749999999999,0.169175,0.6408,-0.4339,0.798925,1.04235,0.685125,0.9148499999999999,0.425225,0.711275,0.32195,0.8222499999999999,0.715925,0.3691,0.8417749999999999,0.327775,0.8669,0.47815,0.41745,0.7184999999999999,0.8589,0.8362999999999999,1.55985,0.472475,0.9858499999999999,0.28875,0.955025,0.7829250000000001,0.63395,0.764325,0.29315,0.685375,0.6598999999999999,0.970675,0.20625,0.5906,0.3651,1.906775,0.601125,0.5746249999999999,0.5276,0.6496999999999999,0.8714,0.3750500000000001,0.43985,0.419575,0.820775,0.4965,0.302625,0.83295,0.9697,1.601225,0.5936,0.3188,1.5358
TLOG,Real 2025,Febrero,2025,1.06925,0,0.5311,0.564125,0,Zona Sur,52.9,0.3084102564102564,1.116775,0.5853499999999999,0.265675,0.6560250000000001,0.207975,0.29355,0.7696999999999999,1.130725,0.392775,1.792275,1.040825,0.6797,0.284375,0.216725,0.4415250000000001,0.94045,0.701825,18.89465,-175.012775,30.0486,-134.408025,0.264275,0.1994,0.7585250000000001,1.352425,0.327,1.33105,0.6676000000000001,0.5147999999999999,0.721025,0.3187,0.378775,0.27015,0.544075,0.639725,0.7870999999999999,0.315475,0.184625,0.623475,1.132075,0.19995,0.309825,0.6624500000000001,0.696125,0.5427000000000001,0.4968,0.4796,0.37065,0.9844750000000001,0.747875,0.3592,1.775675,0.48695,0.3949,0.3012,0.5420750000000001,59.69375,0.264,1.221625,0.625475,0.242425,0.331575,0.375175,0.69935,0.5061249999999999,0.49785,0.686425,0.290675,1.203425,0.272,0.8769750000000001,0.5655749999999999,0.5837,0.6687000000000001,0.36125,0.243625,0.646225,0.310725,0.262825,0.3638,0.13005,0.7153499999999999,0.35965,1.01605,0.672375,0.61205,-0.6834749999999999,0.6559,0.794775,1.09895,0.6986249999999999,2.1737,0.9783750000000001,0.44135,2.145125,0.8260500000000001,0.704775,0.3329,1.152125,0.3409,0.7097,2.63945,0.1996,1.858675,0.6629,1.910375,0.241975,0.143575,0.219825,0.817775,0.3379,0.678025,0.7228749999999999,2.762575,0.2578,0.528825,0.893225,0.343125,0.94595,0.97575,0.9455,0.849925,0.356,0.72545,0.7638750000000001,1.080575,0.28495,0.363625,0.306475,0.265275,0.274875,1.857175,0.534475,1.1564,0.6503749999999999,1.1747,0.5134000000000001,0.5665250000000001
TLOG,Real 2025,Noviembre,2025,0.30915,0,0.28945,0.2545,0,Zona Sur,137.55,0.3710769230769231,0.620575,0.235925,0.8452249999999999,1.077675,0.44405,0.8908750000000001,0.499925,1.135075,0.7331749999999999,2.3865,0.364325,0.501975,0.29485,0.640825,0.65675,1.1852,0.64455,-236.118425,70.85475000000001,-160.68695,-7.8174,1.10325,0.6966,0.5588000000000001,0.607325,0.828875,1.059125,0.7898499999999999,1.17785,0.5090250000000001,0.5835,1.29985,1.2673,0.2853,0.313725,1.4739,0.6502500000000001,0.632925,0.558825,0.47265,0.163975,0.902825,1.39705,0.44225,0.433275,0.68285,0.1923,0.952225,0.464825,0.19625,1.042725,0.503175,1.253725,0.315925,0.508925,0.480625,-184.720325,0.2568,0.378225,0.246375,1.6845,0.527425,0.730275,0.957575,0.604425,0.5243249999999999,0.586225,0.9813249999999999,0.361375,0.8287749999999999,0.334,0.175625,0.265725,0.6974250000000001,0.392575,0.177375,0.74075,0.977025,0.204925,0.6849250000000001,0.357125,0.7766500000000001,0.212525,0.5263,0.284375,0.7423000000000001,-0.357975,0.8690000000000001,0.7927249999999999,0.35525,0.5774,1.28985,0.3178,0.53455,0.6505500000000001,0.3215,1.37725,0.92,0.126525,0.63625,0.973875,0.981375,0.533975,0.466175,0.456625,1.0616,0.186175,0.40755,1.119725,0.6208250000000001,0.327575,0.454525,1.328325,0.2362,0.32525,0.6523,0.6476500000000001,0.446475,0.31935,0.6035,0.26385,0.61055,0.77435,0.7345,0.715925,0.76015,0.9747499999999999,0.5291,0.421075,1.246475,1.466125,0.2339,0.460625,0.31255,0.6149249999999999,0.5413,1.7857,0.3053
TLOG,Real 2025,Septiembre,2025,0.6784,0,0.7235250000000001,0.243475,0,Zona Sur,239.31,0.4585128205128205,2.4265,0.25015,0.27065,0.41615,0.7737999999999999,0.306525,0.290975,0.295575,0.453925,0.10855,0.801575,1.033475,0.29785,0.5357500000000001,0.61645,0.7121,0.5943,10.1352,-6.98365,119.499825,378.7298,0.556225,0.606125,0.558675,0.4668,0.486575,1.426175,0.515525,0.453575,0.4236,0.31945,1.2027,1.1488,0.341,0.258025,0.446975,0.5285,0.746,0.82625,0.544875,0.495475,0.30355,0.3357,0.192225,0.290575,1.05215,1.0185,0.6589499999999999,0.230975,0.4085,0.20225,0.247625,0.299425,0.349425,0.167425,1.5908,-78.595475,0.359,0.21495,0.6648999999999999,0.730375,0.7499250000000001,1.11585,0.955325,0.284625,0.7988500000000001,1.17425,0.53485,1.449,0.290675,0.367025,0.69395,0.47375,1.214875,0.3515,1.089575,0.235225,0.338025,0.59015,0.5897249999999999,0.5961500000000001,0.567125,0.831075,0.652475,0.5794,0.408825,-0.286675,0.3391749999999999,0.264325,0.883975,0.4789,0.5995,0.7973250000000001,1.389375,1.09645,0.248975,0.447475,0.95155,0.588675,0.250925,0.4951,0.7221500000000001,0.635925,0.5454,0.338475,1.06295,0.47765,0.338375,0.681825,0.283875,0.6982250000000001,0.376775,0.814625,1.5988,0.17505,0.805875,0.6978749999999999,0.3543,0.8097,0.55735,0.42835,0.603975,0.48185,1.258925,0.62555,0.6505249999999999,0.712375,0.445025,0.3355,0.313725,0.4999499999999999,0.2163,0.3826,1.473375,1.015125,0.523525,0.330125,0.483
TLOG,Real 2025,Agosto,2025,0.431325,0,1.31055,0.233875,0,Zona Norte,195.95,0.2396410256410256,0.609975,0.240425,1.475525,0.9268500000000001,0.362975,0.483075,0.506275,0.7356,0.373175,0.519375,0.47305,0.340925,0.4436,0.595325,0.790425,1.0345,1.564425,64.316575,-178.617275,-305.68325,37.944275,0.2174,0.940925,0.4987,1.39075,0.41195,0.6347999999999999,0.9400499999999999,0.6483249999999999,0.312,1.1849,0.71595,0.728075,1.09665,1.4782,0.1339,0.5735750000000001,1.68085,0.933725,0.28015,0.51625,0.5688,2.453775,0.7244499999999999,0.279275,1.383775,0.707075,0.6362,0.786075,0.195875,0.63885,2.406,0.392225,0.4991,0.23305,0.69305,-84.40817499999999,0.80985,0.29505,0.712375,0.7087749999999999,0.798125,0.8378,0.752,0.7073999999999999,0.53455,0.2524,1.04985,0.3905,0.2524,0.582975,1.422525,0.368525,0.776225,0.824675,0.95015,5.128724999999999,0.7436750000000001,2.0151,0.8071250000000001,1.054375,0.79825,0.862625,0.4705,0.430125,0.564175,-0.322825,0.214425,0.7454999999999999,0.329225,0.425975,0.3076,0.368075,1.00285,0.7334499999999999,0.2769,0.47085,0.469575,0.75605,0.6022500000000001,0.63845,1.362875,0.438925,0.424925,0.465425,0.195175,0.494625,0.3161,0.582225,0.3509,0.65405,0.7427750000000001,0.91905,0.6774,0.7743000000000001,0.518575,0.433125,0.3086,1.026975,0.769675,0.322875,0.295025,0.5100750000000001,1.085725,0.54305,0.7039,0.16825,0.2251,0.403525,1.33545,0.367625,0.26995,0.7216750000000001,0.26315,0.5852499999999999,0.619275,0.4647249999999999,1.139525
TLOG,Real 2025,Abril,2025,0.464275,0,0.525675,0.190675,0,Zona Norte,293.36,0.4383076923076923,0.4627000000000001,0.739525,0.1967,0.368125,2.49875,0.46125,0.306725,0.38245,0.5679500000000001,0.357725,1.42015,0.5918249999999999,0.263475,0.56255,0.791525,0.369475,0.23295,79.64405,53.573275,-73.2816,-107.97665,0.1889,0.792025,0.3292,0.463575,0.341825,0.538975,0.57265,1.060725,1.76155,0.88105,0.173025,0.651675,1.166675,0.7495,0.283125,0.637625,0.247575,0.7659,0.5746249999999999,0.287,0.816325,0.417725,0.126725,0.67815,0.5616,0.24015,0.272975,1.27365,0.4564,0.53635,0.697375,0.7717499999999999,0.9524250000000001,0.379075,0.4415250000000001,-94.290425,0.4039,0.9207,0.999725,0.586475,0.9706,1.1607,1.3627,0.4095,0.679875,0.848275,0.5642,0.2901,0.541475,0.31495,0.5603,0.993125,0.734725,1.2513,1.0318,0.212,0.561025,0.2584,1.126775,0.5022,1.98845,0.59085,1.169725,0.2265,0.332025,-0.3669,0.99675,1.250225,0.391175,0.4115,0.1624,0.598975,1.4297,0.7270749999999999,0.326075,0.25395,0.386375,0.309025,0.313375,0.8826,0.875475,0.334775,0.387425,0.976725,0.249275,0.34545,0.42265,0.32595,0.212,1.5291,0.7012,0.4009,0.591725,1.744825,0.41365,0.280375,1.00975,1.01805,0.33095,1.19735,0.389925,0.568175,0.240275,0.527925,1.448275,3.099375,0.34385,0.430325,0.217075,0.3732,0.6179749999999999,0.8270000000000001,0.383175,0.234075,0.478475,2.437825,0.322175
TLOG,Real 2025,Septiembre,2025,0.615425,0,0.4893,0.58805,0,Zona Sur,353.7,0.6065128205128205,0.552025,1.8997,0.285875,0.41345,0.9368500000000001,0.68265,0.737175,0.204725,0.2767,0.469775,0.7164499999999999,0.719275,0.53485,0.6433,0.115325,0.95525,1.6592,14.670725,-33.6284,2.8663,50.973625,0.281875,0.487825,0.6733,2.104775,0.4764,0.8398749999999999,0.27655,0.39445,0.5680499999999999,1.099825,0.266725,1.489625,0.486175,0.720525,0.6987749999999999,0.569875,0.853575,0.9359000000000001,0.6321249999999999,0.3265,0.3336,1.83245,0.45295,0.532975,0.337525,0.44225,0.7439749999999999,0.4314500000000001,0.8497499999999999,1.196825,0.8892749999999999,0.8906999999999999,0.328675,0.2687,0.38795,-263.91055,0.450175,0.8691249999999999,0.96045,0.340675,0.516025,0.614425,0.559575,0.6202000000000001,0.665425,0.2714,0.9612999999999999,0.641175,0.534225,1.069475,0.99555,1.3956,0.193575,0.271925,0.512325,0.398425,0.417075,0.8986750000000001,0.21695,0.5606,0.627875,0.24115,1.179425,0.294025,1.3297,-0.254275,1.234125,0.2311,0.44405,0.63165,0.84245,0.7968000000000001,0.561,0.308925,0.630475,0.3979,0.55385,0.479125,11.10845,0.510025,0.6150249999999999,0.351925,0.361975,0.7272750000000001,0.52345,0.638525,0.292275,0.5264500000000001,0.481425,0.9648,0.292725,1.128525,0.351425,0.613025,0.9020999999999999,0.639675,0.3265999999999999,1.4974,0.38765,0.14695,0.7768999999999999,0.38155,0.211475,0.306425,0.58915,0.554525,0.889075,0.43485,0.7908750000000001,1.9101,0.46745,0.324725,2.5179,1.64005,0.686725,0.887325,0.14345
TLOG,Real 2025,Junio,2025,0.7984,0,0.282125,1.08155,0,Zona Centro,317.32,0.4443846153846154,0.642275,1.247125,0.70735,0.340875,1.204375,0.154425,0.8935500000000001,0.463425,0.712225,0.428425,0.96555,0.4331,0.4986,1.228475,0.476675,0.947625,0.492475,-247.14825,66.333125,-98.72030000000001,-64.6344,0.26175,1.023075,0.463075,0.4052,1.691725,0.3894,0.900775,0.2583,0.194125,1.035,0.3663,0.206675,0.6440250000000001,0.44805,0.63505,0.8862000000000001,0.9836,0.72195,0.48275,1.3736,0.88295,1.8276,0.54945,0.42915,1.382775,0.34235,0.303625,1.406375,0.8589,1.271725,1.5103,0.668275,0.9459000000000001,1.04165,0.271075,236.3222,0.352275,0.3485,0.48435,0.429725,0.434125,1.51985,0.3815250000000001,0.369425,0.4591749999999999,1.33655,0.45935,0.827625,0.586025,0.25905,0.4067,0.27715,1.0361,1.0778,0.893125,0.391275,0.712525,0.3926,0.563675,0.387125,0.55865,0.442275,1.405675,0.3085,0.250325,-0.199425,0.513675,0.45525,0.722725,0.21715,1.1769,0.400375,1.30085,0.279675,0.2649,0.842225,0.5363,0.448475,0.791725,0.783275,0.235725,0.461775,0.544525,0.96455,0.3711,1.901325,0.265475,0.27515,0.4268,0.29755,0.187275,0.256075,0.320675,0.6466,0.648775,0.573925,0.1421,0.38455,0.543425,0.4231,0.154925,0.391975,0.3974,0.190925,0.8527750000000001,1.528625,0.432475,0.46155,0.3149,0.512975,0.705775,0.402025,0.6873999999999999,0.27,0.6308,0.19925,0.7255750000000001
